zone,cluster,n_changes,n_strong_relations,summary
48,3,15,0,NDVI decrease 2020->2021 (Δ=-11.93); NDWI decrease 2020->2021 (Δ=-24.41); EVI decrease 2020->2021 (Δ=-6.02); NDVI decrease 2021->2022 (Δ=-67.08); NDWI decrease 2021->2022 (Δ=-62.82); EVI decrease 2021->2022 (Δ=-65.95); NDVI increase 2022->2023 (Δ=44.31); NDWI increase 2022->2023 (Δ=53.98); EVI increase 2022->2023 (Δ=79.24); NDVI decrease 2023->2024 (Δ=-59.95); NDWI decrease 2023->2024 (Δ=-38.37); EVI increase 2023->2024 (Δ=4.90); NDVI increase 2024->2025 (Δ=10.35); NDWI increase 2024->2025 (Δ=10.55); EVI decrease 2024->2025 (Δ=-11.14); vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI drop
49,1,12,0,NDVI decrease 2020->2021 (Δ=-21.29); NDWI decrease 2020->2021 (Δ=-19.72); NDVI increase 2021->2022 (Δ=7.06); NDWI increase 2021->2022 (Δ=3.49); EVI decrease 2021->2022 (Δ=-10.93); NDWI decrease 2022->2023 (Δ=-2.02); EVI increase 2022->2023 (Δ=9.31); NDVI increase 2023->2024 (Δ=12.42); NDWI increase 2023->2024 (Δ=5.92); EVI increase 2023->2024 (Δ=11.88); NDVI decrease 2024->2025 (Δ=-89.11); NDWI decrease 2024->2025 (Δ=-167.38); vegetation loss; water-content loss; vegetation gain; water-content gain; EVI drop; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss
50,1,14,1,NDVI decrease 2020->2021 (Δ=-81.08); NDWI decrease 2020->2021 (Δ=-63.03); EVI decrease 2020->2021 (Δ=-5.02); NDVI increase 2021->2022 (Δ=168.20); NDWI increase 2021->2022 (Δ=66.92); EVI increase 2021->2022 (Δ=12.39); NDVI decrease 2022->2023 (Δ=-86.83); NDWI decrease 2022->2023 (Δ=-22.48); EVI decrease 2022->2023 (Δ=-24.89); NDVI decrease 2023->2024 (Δ=-8.99); NDWI increase 2023->2024 (Δ=19.13); EVI increase 2023->2024 (Δ=20.77); NDWI decrease 2024->2025 (Δ=-123.89); EVI decrease 2024->2025 (Δ=-2.16); NDVI(t) -> EVI(t+1) r=-0.93 p=0.030; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation loss; water-content gain; EVI rise; water-content loss; EVI drop
51,1,14,0,NDVI decrease 2020->2021 (Δ=-19.59); NDWI decrease 2020->2021 (Δ=-45.40); EVI decrease 2020->2021 (Δ=-8.09); NDVI increase 2021->2022 (Δ=15.93); EVI decrease 2021->2022 (Δ=-8.88); NDVI decrease 2022->2023 (Δ=-19.75); NDWI increase 2022->2023 (Δ=13.41); EVI increase 2022->2023 (Δ=19.07); NDVI increase 2023->2024 (Δ=29.15); NDWI increase 2023->2024 (Δ=25.70); EVI increase 2023->2024 (Δ=3.05); NDVI decrease 2024->2025 (Δ=-64.25); NDWI decrease 2024->2025 (Δ=-167.78); EVI increase 2024->2025 (Δ=3.94); vegetation loss; water-content loss; EVI drop; vegetation gain; EVI drop; vegetation loss; water-content gain; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise
52,3,15,0,NDVI decrease 2020->2021 (Δ=-157.35); NDWI decrease 2020->2021 (Δ=-62.40); EVI decrease 2020->2021 (Δ=-3.22); NDVI increase 2021->2022 (Δ=70.79); NDWI increase 2021->2022 (Δ=11.12); EVI decrease 2021->2022 (Δ=-103.69); NDVI increase 2022->2023 (Δ=81.72); NDWI increase 2022->2023 (Δ=29.45); EVI increase 2022->2023 (Δ=117.93); NDVI decrease 2023->2024 (Δ=-43.16); NDWI increase 2023->2024 (Δ=22.76); EVI increase 2023->2024 (Δ=2.57); NDVI decrease 2024->2025 (Δ=-77.84); NDWI decrease 2024->2025 (Δ=-192.45); EVI decrease 2024->2025 (Δ=-2.57); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
53,1,11,0,NDVI decrease 2020->2021 (Δ=-28.05); NDWI increase 2020->2021 (Δ=35.88); NDVI increase 2021->2022 (Δ=30.68); EVI increase 2021->2022 (Δ=12.12); NDWI increase 2022->2023 (Δ=17.99); EVI decrease 2022->2023 (Δ=-9.47); NDWI increase 2023->2024 (Δ=12.83); EVI increase 2023->2024 (Δ=3.84); NDVI decrease 2024->2025 (Δ=-5.28); NDWI decrease 2024->2025 (Δ=-129.80); EVI increase 2024->2025 (Δ=3.96); vegetation loss; water-content gain; vegetation gain; EVI rise; water-content gain; EVI drop; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise
54,0,11,0,NDVI decrease 2020->2021 (Δ=-2.31); NDWI decrease 2020->2021 (Δ=-3.83); NDVI increase 2021->2022 (Δ=4.40); NDWI increase 2021->2022 (Δ=4.14); EVI increase 2021->2022 (Δ=1.81); NDVI decrease 2022->2023 (Δ=-2.35); NDWI decrease 2022->2023 (Δ=-1.53); EVI decrease 2022->2023 (Δ=-3.15); NDVI decrease 2024->2025 (Δ=-3.66); NDWI decrease 2024->2025 (Δ=-22.46); EVI increase 2024->2025 (Δ=2.15); vegetation loss; water-content loss; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI rise
55,1,14,0,NDVI decrease 2020->2021 (Δ=-28.26); NDWI decrease 2020->2021 (Δ=-22.51); EVI increase 2020->2021 (Δ=2.35); NDVI increase 2021->2022 (Δ=29.72); NDWI increase 2021->2022 (Δ=18.57); EVI decrease 2021->2022 (Δ=-14.25); NDVI decrease 2022->2023 (Δ=-11.81); NDWI decrease 2022->2023 (Δ=-17.86); EVI increase 2022->2023 (Δ=14.84); NDVI decrease 2023->2024 (Δ=-5.51); NDWI decrease 2023->2024 (Δ=-2.66); EVI increase 2023->2024 (Δ=7.60); NDVI decrease 2024->2025 (Δ=-13.03); NDWI decrease 2024->2025 (Δ=-101.39); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI drop; vegetation loss; water-content loss; EVI rise; vegetation loss; water-content loss; EVI rise; vegetation loss; water-content loss
56,0,1,0,NDWI decrease 2024->2025 (Δ=-2.12); water-content loss
57,0,5,0,NDVI decrease 2020->2021 (Δ=-1.86); NDWI decrease 2020->2021 (Δ=-1.86); EVI increase 2021->2022 (Δ=1.97); NDWI increase 2023->2024 (Δ=1.92); NDWI decrease 2024->2025 (Δ=-1.78); vegetation loss; water-content loss; EVI rise; water-content gain; water-content loss
58,1,14,0,NDVI decrease 2020->2021 (Δ=-83.87); NDWI decrease 2020->2021 (Δ=-99.13); EVI decrease 2020->2021 (Δ=-3.77); NDVI increase 2021->2022 (Δ=85.13); NDWI increase 2021->2022 (Δ=96.36); EVI decrease 2021->2022 (Δ=-2.77); NDVI decrease 2022->2023 (Δ=-3.50); NDWI decrease 2022->2023 (Δ=-25.85); EVI increase 2022->2023 (Δ=7.39); NDVI decrease 2023->2024 (Δ=-16.71); NDWI increase 2023->2024 (Δ=23.23); NDVI decrease 2024->2025 (Δ=-20.13); NDWI decrease 2024->2025 (Δ=-152.09); EVI increase 2024->2025 (Δ=6.18); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI drop; vegetation loss; water-content loss; EVI rise; vegetation loss; water-content gain; vegetation loss; water-content loss; EVI rise
59,1,15,0,NDVI decrease 2020->2021 (Δ=-77.11); NDWI decrease 2020->2021 (Δ=-17.90); EVI decrease 2020->2021 (Δ=-3.55); NDVI increase 2021->2022 (Δ=108.87); NDWI increase 2021->2022 (Δ=17.52); EVI increase 2021->2022 (Δ=10.42); NDVI decrease 2022->2023 (Δ=-31.99); NDWI decrease 2022->2023 (Δ=-13.54); EVI decrease 2022->2023 (Δ=-13.33); NDVI increase 2023->2024 (Δ=19.61); NDWI increase 2023->2024 (Δ=13.04); EVI increase 2023->2024 (Δ=7.45); NDVI decrease 2024->2025 (Δ=-72.44); NDWI decrease 2024->2025 (Δ=-144.31); EVI increase 2024->2025 (Δ=8.28); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise
60,3,14,0,NDVI decrease 2020->2021 (Δ=-120.98); NDWI decrease 2020->2021 (Δ=-35.97); EVI increase 2020->2021 (Δ=4.58); NDVI increase 2021->2022 (Δ=24.77); NDWI decrease 2021->2022 (Δ=-105.45); EVI decrease 2021->2022 (Δ=-115.80); NDVI increase 2022->2023 (Δ=94.02); NDWI increase 2022->2023 (Δ=120.26); EVI increase 2022->2023 (Δ=124.16); NDVI decrease 2023->2024 (Δ=-47.40); NDWI increase 2023->2024 (Δ=16.95); NDVI decrease 2024->2025 (Δ=-80.05); NDWI decrease 2024->2025 (Δ=-177.20); EVI decrease 2024->2025 (Δ=-2.87); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content gain; vegetation loss; water-content loss; EVI drop
61,1,14,0,NDVI decrease 2020->2021 (Δ=-15.67); NDWI decrease 2020->2021 (Δ=-9.31); NDVI increase 2021->2022 (Δ=13.91); NDWI increase 2021->2022 (Δ=5.63); EVI decrease 2021->2022 (Δ=-12.94); NDVI decrease 2022->2023 (Δ=-5.17); NDWI decrease 2022->2023 (Δ=-4.77); EVI increase 2022->2023 (Δ=17.91); NDVI increase 2023->2024 (Δ=4.26); NDWI increase 2023->2024 (Δ=2.88); EVI increase 2023->2024 (Δ=13.11); NDVI decrease 2024->2025 (Δ=-29.75); NDWI decrease 2024->2025 (Δ=-180.69); EVI decrease 2024->2025 (Δ=-10.71); vegetation loss; water-content loss; vegetation gain; water-content gain; EVI drop; vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
62,1,13,0,NDVI decrease 2020->2021 (Δ=-29.93); NDWI increase 2020->2021 (Δ=62.55); NDVI increase 2021->2022 (Δ=12.29); NDWI increase 2021->2022 (Δ=18.16); EVI increase 2021->2022 (Δ=11.36); NDVI increase 2022->2023 (Δ=15.67); NDWI increase 2022->2023 (Δ=4.09); EVI decrease 2022->2023 (Δ=-10.13); NDVI increase 2023->2024 (Δ=2.85); NDWI increase 2023->2024 (Δ=10.69); EVI increase 2023->2024 (Δ=4.16); NDVI decrease 2024->2025 (Δ=-11.29); NDWI decrease 2024->2025 (Δ=-161.14); vegetation loss; water-content gain; vegetation gain; water-content gain; EVI rise; vegetation gain; water-content gain; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss
63,1,15,0,NDVI decrease 2020->2021 (Δ=-64.30); NDWI decrease 2020->2021 (Δ=-8.03); EVI decrease 2020->2021 (Δ=-9.67); NDVI increase 2021->2022 (Δ=70.08); NDWI increase 2021->2022 (Δ=7.36); EVI increase 2021->2022 (Δ=8.00); NDVI decrease 2022->2023 (Δ=-14.03); NDWI decrease 2022->2023 (Δ=-32.18); EVI decrease 2022->2023 (Δ=-18.12); NDVI increase 2023->2024 (Δ=2.54); NDWI increase 2023->2024 (Δ=23.51); EVI increase 2023->2024 (Δ=25.59); NDVI decrease 2024->2025 (Δ=-35.84); NDWI decrease 2024->2025 (Δ=-164.93); EVI decrease 2024->2025 (Δ=-5.65); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
64,3,15,0,NDVI decrease 2020->2021 (Δ=-100.88); NDWI decrease 2020->2021 (Δ=-38.78); EVI decrease 2020->2021 (Δ=-7.02); NDVI decrease 2021->2022 (Δ=-17.69); NDWI increase 2021->2022 (Δ=10.40); EVI decrease 2021->2022 (Δ=-115.33); NDVI increase 2022->2023 (Δ=105.37); NDWI increase 2022->2023 (Δ=9.14); EVI increase 2022->2023 (Δ=134.59); NDVI decrease 2023->2024 (Δ=-25.93); NDWI increase 2023->2024 (Δ=14.77); EVI decrease 2023->2024 (Δ=-8.28); NDVI decrease 2024->2025 (Δ=-78.04); NDWI decrease 2024->2025 (Δ=-166.15); EVI increase 2024->2025 (Δ=2.19); vegetation loss; water-content loss; EVI drop; vegetation loss; water-content gain; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content gain; EVI drop; vegetation loss; water-content loss; EVI rise
65,0,5,0,NDVI decrease 2020->2021 (Δ=-3.67); NDVI increase 2021->2022 (Δ=2.84); NDWI decrease 2021->2022 (Δ=-1.56); NDWI increase 2023->2024 (Δ=1.60); NDVI decrease 2024->2025 (Δ=-2.05); vegetation loss; vegetation gain; water-content loss; water-content gain; vegetation loss
66,0,1,0,EVI increase 2020->2021 (Δ=2.02); EVI rise
67,1,15,0,NDVI decrease 2020->2021 (Δ=-92.48); NDWI decrease 2020->2021 (Δ=-74.84); EVI increase 2020->2021 (Δ=2.13); NDVI increase 2021->2022 (Δ=107.18); NDWI increase 2021->2022 (Δ=73.75); EVI decrease 2021->2022 (Δ=-20.32); NDVI decrease 2022->2023 (Δ=-25.86); NDWI decrease 2022->2023 (Δ=-22.91); EVI increase 2022->2023 (Δ=16.21); NDVI decrease 2023->2024 (Δ=-18.43); NDWI increase 2023->2024 (Δ=25.19); EVI increase 2023->2024 (Δ=7.63); NDVI decrease 2024->2025 (Δ=-9.17); NDWI decrease 2024->2025 (Δ=-129.67); EVI increase 2024->2025 (Δ=2.98); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI drop; vegetation loss; water-content loss; EVI rise; vegetation loss; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise
68,1,15,2,NDVI decrease 2020->2021 (Δ=-40.92); NDWI decrease 2020->2021 (Δ=-36.37); EVI decrease 2020->2021 (Δ=-9.75); NDVI increase 2021->2022 (Δ=53.77); NDWI increase 2021->2022 (Δ=26.29); EVI increase 2021->2022 (Δ=6.02); NDVI decrease 2022->2023 (Δ=-24.65); NDWI decrease 2022->2023 (Δ=-10.08); EVI increase 2022->2023 (Δ=2.54); NDVI increase 2023->2024 (Δ=10.74); NDWI increase 2023->2024 (Δ=12.18); EVI increase 2023->2024 (Δ=17.55); NDVI decrease 2024->2025 (Δ=-30.68); NDWI decrease 2024->2025 (Δ=-157.75); EVI decrease 2024->2025 (Δ=-11.63); NDWI(t) -> NDVI(t+1) r=-0.94 p=0.024; EVI(t) -> NDWI(t+1) r=-0.94 p=0.044; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
69,0,1,0,NDVI decrease 2024->2025 (Δ=-3.05); vegetation loss
70,1,14,0,NDVI decrease 2020->2021 (Δ=-87.04); NDWI decrease 2020->2021 (Δ=-60.14); EVI decrease 2020->2021 (Δ=-4.26); NDVI increase 2021->2022 (Δ=68.51); NDWI increase 2021->2022 (Δ=15.10); EVI decrease 2021->2022 (Δ=-20.44); NDVI decrease 2022->2023 (Δ=-6.14); NDWI increase 2022->2023 (Δ=17.22); EVI increase 2022->2023 (Δ=24.75); NDVI increase 2023->2024 (Δ=29.35); NDWI increase 2023->2024 (Δ=13.47); NDVI decrease 2024->2025 (Δ=-68.86); NDWI decrease 2024->2025 (Δ=-152.67); EVI increase 2024->2025 (Δ=10.71); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI drop; vegetation loss; water-content gain; EVI rise; vegetation gain; water-content gain; vegetation loss; water-content loss; EVI rise
71,1,14,0,NDVI decrease 2020->2021 (Δ=-50.14); NDWI increase 2020->2021 (Δ=4.84); EVI increase 2020->2021 (Δ=12.46); NDVI increase 2021->2022 (Δ=23.31); NDWI increase 2021->2022 (Δ=28.20); EVI increase 2021->2022 (Δ=4.30); NDVI increase 2022->2023 (Δ=23.59); NDWI increase 2022->2023 (Δ=2.47); EVI decrease 2022->2023 (Δ=-14.71); NDVI increase 2023->2024 (Δ=4.34); NDWI increase 2023->2024 (Δ=11.33); EVI increase 2023->2024 (Δ=11.31); NDVI decrease 2024->2025 (Δ=-13.31); NDWI decrease 2024->2025 (Δ=-121.23); vegetation loss; water-content gain; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation gain; water-content gain; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss
72,3,15,0,NDVI decrease 2020->2021 (Δ=-32.32); NDWI decrease 2020->2021 (Δ=-17.40); EVI increase 2020->2021 (Δ=5.22); NDVI decrease 2021->2022 (Δ=-55.84); NDWI decrease 2021->2022 (Δ=-60.16); EVI decrease 2021->2022 (Δ=-52.88); NDVI increase 2022->2023 (Δ=55.24); NDWI increase 2022->2023 (Δ=57.07); EVI increase 2022->2023 (Δ=55.98); NDVI increase 2023->2024 (Δ=23.29); NDWI increase 2023->2024 (Δ=12.37); EVI increase 2023->2024 (Δ=8.40); NDVI decrease 2024->2025 (Δ=-84.19); NDWI decrease 2024->2025 (Δ=-173.59); EVI decrease 2024->2025 (Δ=-5.71); vegetation loss; water-content loss; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
73,0,1,0,NDVI decrease 2024->2025 (Δ=-2.53); vegetation loss
74,1,14,1,NDVI decrease 2020->2021 (Δ=-59.48); NDWI decrease 2020->2021 (Δ=-66.81); EVI decrease 2020->2021 (Δ=-10.35); NDVI increase 2021->2022 (Δ=65.38); NDWI increase 2021->2022 (Δ=62.91); EVI increase 2021->2022 (Δ=5.54); NDVI decrease 2022->2023 (Δ=-16.32); NDWI decrease 2022->2023 (Δ=-15.27); NDVI increase 2023->2024 (Δ=11.27); NDWI increase 2023->2024 (Δ=17.84); EVI increase 2023->2024 (Δ=15.40); NDVI decrease 2024->2025 (Δ=-32.61); NDWI decrease 2024->2025 (Δ=-181.50); EVI decrease 2024->2025 (Δ=-8.26); EVI(t) -> NDWI(t+1) r=-0.95 p=0.030; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
75,0,3,0,NDVI decrease 2020->2021 (Δ=-1.56); NDVI decrease 2024->2025 (Δ=-3.22); NDWI decrease 2024->2025 (Δ=-3.93); vegetation loss; vegetation loss; water-content loss
76,0,1,0,EVI decrease 2020->2021 (Δ=-2.48); EVI drop
77,2,4,0,NDVI increase 2022->2023 (Δ=4.76); NDVI decrease 2023->2024 (Δ=-4.76); NDVI increase 2024->2025 (Δ=1.86); NDWI increase 2024->2025 (Δ=2.01); vegetation gain; vegetation loss; vegetation gain; water-content gain
78,0,0,0,no strong pattern
79,0,0,1,NDVI(t) -> NDWI(t+1) r=-0.89 p=0.030
80,3,15,0,NDVI decrease 2020->2021 (Δ=-69.62); NDWI decrease 2020->2021 (Δ=-61.79); EVI decrease 2020->2021 (Δ=-37.84); NDVI decrease 2021->2022 (Δ=-64.14); NDWI decrease 2021->2022 (Δ=-54.30); EVI decrease 2021->2022 (Δ=-39.56); NDVI increase 2022->2023 (Δ=60.17); NDWI increase 2022->2023 (Δ=71.50); EVI increase 2022->2023 (Δ=77.86); NDVI increase 2023->2024 (Δ=46.07); NDWI increase 2023->2024 (Δ=18.33); EVI increase 2023->2024 (Δ=18.43); NDVI decrease 2024->2025 (Δ=-93.97); NDWI decrease 2024->2025 (Δ=-153.55); EVI decrease 2024->2025 (Δ=-12.74); vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
81,3,15,0,NDVI decrease 2020->2021 (Δ=-105.03); NDWI decrease 2020->2021 (Δ=-79.60); EVI decrease 2020->2021 (Δ=-4.59); NDVI decrease 2021->2022 (Δ=-90.43); NDWI decrease 2021->2022 (Δ=-112.18); EVI decrease 2021->2022 (Δ=-124.80); NDVI increase 2022->2023 (Δ=133.53); NDWI increase 2022->2023 (Δ=171.24); EVI increase 2022->2023 (Δ=132.79); NDVI increase 2023->2024 (Δ=48.34); NDWI decrease 2023->2024 (Δ=-13.91); EVI increase 2023->2024 (Δ=1.66); NDVI decrease 2024->2025 (Δ=-117.53); NDWI decrease 2024->2025 (Δ=-145.75); EVI increase 2024->2025 (Δ=3.55); vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation gain; water-content loss; EVI rise; vegetation loss; water-content loss; EVI rise
82,0,1,1,NDVI decrease 2024->2025 (Δ=-2.14); NDVI(t) -> NDWI(t+1) r=0.95 p=0.034; vegetation loss
83,0,0,0,no strong pattern
84,0,2,1,NDWI increase 2023->2024 (Δ=1.69); NDVI decrease 2024->2025 (Δ=-3.59); NDWI(t) -> NDVI(t+1) r=-0.92 p=0.032; water-content gain; vegetation loss
85,0,0,0,no strong pattern
86,0,4,0,EVI increase 2021->2022 (Δ=2.39); EVI decrease 2022->2023 (Δ=-1.63); EVI increase 2023->2024 (Δ=1.80); EVI decrease 2024->2025 (Δ=-2.14); EVI rise; EVI drop; EVI rise; EVI drop
87,0,0,0,no strong pattern
88,0,1,0,NDVI decrease 2024->2025 (Δ=-4.39); vegetation loss
89,0,1,1,NDVI decrease 2024->2025 (Δ=-2.06); EVI(t) -> NDWI(t+1) r=0.65 p=0.044; vegetation loss
90,0,0,0,no strong pattern
91,0,0,0,no strong pattern
92,0,1,0,NDVI decrease 2024->2025 (Δ=-3.12); vegetation loss
93,0,0,0,no strong pattern
94,0,0,0,no strong pattern
95,0,0,1,NDVI(t) -> EVI(t+1) r=0.89 p=0.030
96,0,0,0,no strong pattern
97,0,0,0,no strong pattern
98,0,0,0,no strong pattern
99,0,0,0,no strong pattern
